phage_id,phage_def,host,flag,phage_organism,phage_kingdom,phage_phylum,phage_class,phage_order,phage_family,phage_genus,phage_species,host_kingdom,host_phylum,host_class,host_order,host_family,host_genus,host_species
NC_003288,"Staphylococcus phage phiETA, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phiETA (Bacteriophage phi ETA),Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiETA,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_004615,"Staphylococcus phage 11, complete genome.",Staphylococcus aureus,train,Staphylococcus phage 11,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 11,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_004616,"Staphylococcus prophage phi 12, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phi12,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus virus phi12,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_004617,"Staphylococcus prophage phi 13, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 13,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus virus 13,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_004679,"Staphylococcus phage phiP68, complete genome.",Staphylococcus aureus,train,Staphylococcus phage P68,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus phage P68,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_005356,"Staphylococcus phage 77, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 77,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus virus 77,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_002321,"Staphylococcus prophage PVL, complete genome.",Staphylococcus aureus,train,Staphylococcus phage PVL,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage PVL,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_004740,"Staphylococcus prophage phiN315, complete genome.",Staphylococcus aureus,train,Staphylococcus phage phiN315,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Staphylococcus phage phiN315,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007021,"Staphylococcus phage Twort, complete genome.",Staphylococcus aureus,train,Staphylococcus phage Twort,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirus,Staphylococcus virus Twort,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007050,"Staphylococcus phage 85, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 85,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 85,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007066,"Staphylococcus phage G1, complete genome.",Staphylococcus aureus,train,Staphylococcus virus G1,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007045,"Staphylococcus phage PT1028, complete genome.",Staphylococcus aureus,train,Staphylococcus phage PT1028,Viruses,,,,,,Staphylococcus phage PT1028,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007046,"Staphylococcus phage 66, complete genome.",Staphylococcus aureus,train,Staphylococcus phage 66,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus virus 66,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007048,"Staphylococcus phage 69, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 69,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 69,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007049,"Staphylococcus phage 53, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 53,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 53,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007051,"Staphylococcus phage 2638A, complete genome.",Staphylococcus aureus,train,Staphylococcus phage 2638A,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Fibralongavirus,Staphylococcus virus 2638A,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007052,"Staphylococcus phage 42e, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 42e,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus virus 42e,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007053,"Staphylococcus phage 3A, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 3a (3A),Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus virus 3a,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007054,"Staphylococcus phage 47, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 47,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus virus 47,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007055,"Staphylococcus phage 37, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 37,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 37,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007056,"Staphylococcus phage EW, complete genome.",Staphylococcus aureus,train,Staphylococcus virus EW,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus EW,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007057,"Staphylococcus phage 96, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 96,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 96,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007058,"Staphylococcus phage ROSA, complete genome.",Staphylococcus aureus,train,Staphylococcus phage ROSA,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage ROSA,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007059,"Staphylococcus phage 71, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 71,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 71,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007060,"Staphylococcus phage 55, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 55,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 55,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007061,"Staphylococcus phage 29, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 29,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 29,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007062,"Staphylococcus phage 52A, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 52a,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 52a,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007063,"Staphylococcus phage 88, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 88,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 88,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007064,"Staphylococcus phage 92, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 92,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 92,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_007065,"Staphylococcus phage X2, complete genome.",Staphylococcus aureus,train,Staphylococcus virus X2,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus X2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_017968,"Staphylococcus phage TEM123, complete genome.",Staphylococcus aureus,train,Staphylococcus phage TEM123,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage TEM123,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_008583,"Staphylococcus phage phiNM1, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phiNM1,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiNM1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_008689,"Staphylococcus phage phiPVL108, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 108PVL (Staphylococcus aureus bacteriophage phiPVL(108)),Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus virus 108PVL,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_008798,"Staphylococcus phage phiETA2, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phiETA2,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiETA2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_008799,"Staphylococcus phage phiETA3, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phiETA3,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiETA3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_009761,"Staphylococcus prophage tp310-1, complete genome.",Staphylococcus aureus,train,Staphylococcus phage tp310-1,Viruses,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_009762,"Staphylococcus prophage tp310-2, complete genome.",Staphylococcus aureus,train,Staphylococcus phage tp310-2,Viruses,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_009763,"Staphylococcus prophage tp310-3, complete genome.",Staphylococcus aureus,train,Staphylococcus phage tp310-3,Viruses,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_009875,"Staphylococcus phage SAP-2, complete genome.",Staphylococcus aureus,train,Staphylococcus phage SAP-2,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus virus SAP2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_010147,"Staphylococcus phage phiMR11, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phiMR11,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiMR11,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_010808,"Staphylococcus phage phiMR25, complete genome.",Staphylococcus aureus,train,Staphylococcus virus phiMR25,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiMR25,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_011344,"Staphylococcus phage phi2958PVL, complete genome.",Staphylococcus aureus,train,Staphylococcus phage phi2958PVL (phi2958PVL),Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus phage phi2958PVL,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_011612,"Staphylococcus phage phiSauS-IPLA35, complete genome.",Staphylococcus aureus,train,Staphylococcus virus IPLA35,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus virus IPLA35,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_011614,"Staphylococcus phage phiSauS-IPLA88, complete genome.",Staphylococcus aureus,train,Staphylococcus virus IPLA88,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus IPLA88,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_012784,"Staphylococcus phage phiPVL-CN125, complete genome.",Staphylococcus aureus,train,Staphylococcus phage phiPVL-CN125,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage phiPVL-CN125,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_013195,"Staphylococcus phage P954, complete genome.",Staphylococcus aureus,train,Staphylococcus phage P954,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage P954,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_014460,"Staphylococcus phage SAP-26, complete genome.",Staphylococcus aureus,train,Staphylococcus virus SAP26,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus SAP26,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_016565,"Staphylococcus phage S24-1, complete genome.",Staphylococcus aureus,train,Staphylococcus phage S24-1,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus virus S24-1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_019448,"Staphylococcus phage GH15, complete genome.",Staphylococcus aureus,train,Staphylococcus phage GH15,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G15,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_019511,"Staphylococcus phage SA11, complete genome.",Staphylococcus aureus,train,Staphylococcus virus SA11,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Silviavirus,Staphylococcus virus SA11,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_019513,"Staphylococcus phage SMSAP5, complete genome.",Staphylococcus aureus,train,Staphylococcus phage SMSAP5,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus phage SMSAP5,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_019726,"Staphylococcus phage JD007, complete genome.",Staphylococcus aureus,train,Staphylococcus phage JD007,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus JD7,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_004678,"Staphylococcus phage 44AHJD, complete genome.",Staphylococcus aureus,train,Staphylococcus virus 44AHJD (44AHJD),Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus virus 44AHJD,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_021326,"Staphylococcus phage StauST398-1, complete genome.",Staphylococcus aureus,train,Staphylococcus phage StauST398-1,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage StauST398-1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_021332,"Staphylococcus phage StauST398-3, complete genome.",Staphylococcus aureus,train,Staphylococcus phage StauST398-3,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage StauST398-3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_021323,"Staphylococcus phage StauST398-2, complete genome.",Staphylococcus aureus,train,Staphylococcus phage StauST398-2,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Triavirus,Staphylococcus phage StauST398-2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_021863,"Staphylococcus phage SA13, complete genome.",Staphylococcus aureus,train,Staphylococcus phage SA13,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus phage SA13,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
AB626963,Staphylococcus phage S13',Staphylococcus aureus,validate1,Staphylococcus phage S13',Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus phage S13',Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
DQ530360,Staphylococcus aureus phage phiNM2,Staphylococcus aureus,validate1,Staphylococcus virus phiNM2,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiNM2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
DQ530362,Staphylococcus aureus phage phiNM4,Staphylococcus aureus,validate1,Staphylococcus virus phiNM4,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiNM4,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
EF136587,Staphylococcus phage 812,Staphylococcus aureus,validate1,Staphylococcus phage 812,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus phage 812,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
EF136588,Staphylococcus phage 812,Staphylococcus aureus,validate1,Staphylococcus phage 812,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus phage 812,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
EF136589,Staphylococcus phage 812,Staphylococcus aureus,validate1,Staphylococcus phage 812,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus phage 812,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
EU418428,Staphylococcus phage A5W,Staphylococcus aureus,validate1,Staphylococcus phage A5W,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
FR852584,Staphylococcus phage ISP,Staphylococcus aureus,validate1,Staphylococcus phage ISP,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GU169904,Staphylococcus phage SA1,Staphylococcus aureus,validate1,Staphylococcus phage SA1,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Staphylococcus phage SA1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
JX080300,Staphylococcus phage Staph1N,Staphylococcus aureus,validate1,Staphylococcus phage Staph1N,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
JX080301,Staphylococcus phage A3R,Staphylococcus aureus,validate1,Staphylococcus phage A3R,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
JX080302,Staphylococcus phage 676Z,Staphylococcus aureus,validate1,Staphylococcus phage 676Z,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
JX080303,Staphylococcus phage Fi200W,Staphylococcus aureus,validate1,Staphylococcus phage Fi200W,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
JX080304,Staphylococcus phage MSA6,Staphylococcus aureus,validate1,Staphylococcus phage MSA6,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
JX080305,Staphylococcus phage P4W,Staphylococcus aureus,validate1,Staphylococcus phage P4W,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus G1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
